Year,Experiment,Location,Treatment,Trt_code,Rep,Plot,Baseline Nitrate,Recalculated IWG Grain kg/ha,Recalculated IWG Straw kg/ha,Legume Biomass kg/ha,Total VBiomass,Legume,Weed Biomass kg/ha,Legume weed biomass kg/ha,Plot,IWG_%C,IWG_13C,IWG_%N,IWG_15N,IWG_CN,Diff_IWG_LEG,Leg_Fraction,% N_transfer
2017,Legume Trial,Lamberton,Red Clover,RdCl,2,209,,11.92,107.28,3220.095694,3327.375694,1,39.47368421,0,209,41.7420835,-29.67,3.5,3.0859,11.936,NA,NA,-0.065820597
2017,Legume Trial,Lamberton,Red Clover,RdCl,3,307,,4.768,NA,1897.129187,NA,1,0,0,307,41.1156799,-30.021,3.4,3.1055,12.0795,0.30548421,0.9084488,-0.070664409
2017,Legume Trial,Lamberton,Red Clover,RdCl,4,407,,53.64,250.32,1555.023923,1805.343923,1,0,0,407,41.6331437,-30.1,3.7,1.7539,11.2389,0.26386765,0.94321468,0.263894147
2017,Legume Trial,Lamberton,White Clover,WhCl,1,109,,272.968,1680.72,281.1004785,1961.820478,1,145.9330144,0,109,40.9885835,-29.814,3.65,4.6129,11.215,0.15294728,0.90878393,-0.443798831
2017,Legume Trial,Lamberton,White Clover,WhCl,2,207,,458.92,2991.92,370.8133971,3362.733397,1,198.5645933,0,207,41.5695955,-30.006,3.82,1.6521,10.8768,0.12214888,0.97348485,0.289072059
2017,Legume Trial,Lamberton,White Clover,WhCl,3,304,,293.232,1585.36,40.66985646,1626.029856,1,19.13875598,354.0669856,304,40.9431919,-30.023,3.86,2.2049,10.6131,NA,NA,0.152249766
2017,Legume Trial,Lamberton,White Clover,WhCl,4,403,,218.136,894,287.0813397,1181.08134,1,95.6937799,186.6028708,403,41.1156799,-30.051,3.89,2.5633,10.5677,0.33330165,0.91468587,0.063539197
2017,Legume Trial,Rosemount,40 Lbs lb N/Ac,MedN,1,103,18,447,2598.56,NA,2598.56,0,95.6937799,0,103,42.9078337,-30.591,3.01,5.3314,14.2694,NA,NA,NA
2017,Legume Trial,Rosemount,40 Lbs lb N/Ac,MedN,2,203,9,698.512,5125.6,NA,5125.6,0,111.2440191,0,203,43.5311265,-30.709,3.56,5.4315,12.2208,NA,NA,NA
2017,Legume Trial,Rosemount,40 Lbs lb N/Ac,MedN,3,301,17,524.48,2789.28,NA,2789.28,0,172.2488038,0,301,42.9529999,-30.58,2.95,6.7328,14.5698,NA,NA,NA
2017,Legume Trial,Rosemount,40 Lbs lb N/Ac,MedN,4,408,12,811.752,5578.56,NA,5578.56,0,64.59330144,0,408,42.9168669,-30.736,3.13,6.5361,13.7109,NA,NA,NA
2017,Legume Trial,Rosemount,80 Lbs lb N/Ac,HiN,1,108,21,456.536,5077.92,NA,5077.92,0,29.90430622,0,108,41.9864444,-31.384,3.14,5.9282,13.3867,NA,NA,NA
2017,Legume Trial,Rosemount,80 Lbs lb N/Ac,HiN,2,209,38,681.824,5387.84,NA,5387.84,0,66.98564593,0,209,43.1788306,-30.548,3.34,7.6296,12.9134,NA,NA,NA
2017,Legume Trial,Rosemount,80 Lbs lb N/Ac,HiN,3,307,33,691.36,4052.8,NA,4052.8,0,17.94258373,0,307,43.2872293,-30.889,3.54,4.8047,12.2186,NA,NA,NA
2017,Legume Trial,Rosemount,80 Lbs lb N/Ac,HiN,4,407,43,830.824,4529.6,NA,4529.6,0,143.5406699,0,407,42.7181359,-30.938,3.18,4.9757,13.4359,NA,NA,NA
2017,Legume Trial,Rosemount,Alfalfa,Alf,1,104,27,675.864,4315.04,313.3971292,4628.437129,1,1.196172249,0,104,41.1883064,-31.733,2.64,6.4283,15.5885,7.07825351,0.13680143,0.153954258
2017,Legume Trial,Rosemount,Alfalfa,Alf,2,202,8,537.592,3504.48,790.6698565,4295.149856,1,0,11.96172249,202,41.1519931,-30.997,2.67,6.154,15.4166,6.49397843,0.17693861,0.184294421
2017,Legume Trial,Rosemount,Alfalfa,Alf,3,303,19,592.424,2932.32,553.8277512,3486.147751,1,250,0,303,40.8524088,-31.486,2.43,5.6978,16.8355,6.23783181,0.22894817,0.234753118
2017,Legume Trial,Rosemount,Alfalfa,Alf,4,406,2,387.4,2312.48,483.2535885,2795.733589,1,68.18181818,0,406,41.0158184,-31.876,2.45,8.7546,16.709,8.88455418,NA,-0.103379888
2017,Legume Trial,Rosemount,Alsike Clover,AlCl,1,109,,787.912,4219.68,320.5741627,4540.254163,1,19.13875598,0,109,41.364872,-30.727,2.43,5.6262,17.0339,6.33622789,0.23290491,0.242673906
2017,Legume Trial,Rosemount,Alsike Clover,AlCl,2,207,,647.256,4505.76,1081.339713,5587.099713,1,19.13875598,0,207,41.53,-30.06,2.54,7.14,16.324,7.63506199,0.05154854,0.07576748
2017,Legume Trial,Rosemount,Alsike Clover,AlCl,3,309,,562.624,2145.6,720.0956938,2865.695694,1,77.75119617,0,309,41.3,-30.26,2.49,5.79,16.5771,6.49249143,0.21303413,0.224281921
2017,Legume Trial,Rosemount,Alsike Clover,AlCl,4,402,,683.016,4028.96,190.1913876,4219.151388,1,418.6602871,0,402,41.43,-29.97,2.84,7.41,14.5784,7.61223502,0.01777983,0.045106745
2017,Legume Trial,Rosemount,Birdsfoot Trefoil,BTre,1,102,12,958.368,4267.36,51.4354067,4318.795407,1,1.196172249,0,102,41.8419449,-31.238,2.98,6.1533,14.0467,6.25997733,0.18241422,0.184364455
2017,Legume Trial,Rosemount,Birdsfoot Trefoil,BTre,2,204,14,775.992,6365.28,72.96650718,6438.246507,1,0,0,204,41.3789509,-31.593,2.77,7.3046,14.9134,7.41127945,0.03204815,0.057008026
2017,Legume Trial,Rosemount,Birdsfoot Trefoil,BTre,3,305,13,879.696,4887.2,187.7990431,5074.999043,1,51.4354067,0,305,42.3594087,-31.611,3.16,6.3133,13.394,6.41994081,0.16152216,0.166669379
2017,Legume Trial,Rosemount,Birdsfoot Trefoil,BTre,4,409,36,625.8,3599.84,38.27751196,3638.117512,1,31.10047847,0,409,41.7738575,-32.157,2.88,6.456,14.5236,6.56260404,0.14288959,0.150888048
2017,Legume Trial,Rosemount,Canada Milk Vetch,CMV,2,201,,447,3456.8,14.35406699,3471.154067,1,17.94258373,0,201,41.47,-30.29,2.66,6.01,15.5675,6.1636431,0.20039234,0.200736936
2017,Legume Trial,Rosemount,Canada Milk Vetch,CMV,3,306,,688.976,4052.8,29.90430622,4082.704306,1,1.196172249,0,306,42.4,-30.21,2.75,5.94,15.4107,6.10260054,0.20831137,0.207489432
